"Time","Event",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Lyra Willow 82183 (U: 101461)--19% damage",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Byn Al'arnab 16658 (U: 23137)--28% damage",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Aloliona Aster 85842 (U: 95380)--10% damage",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Soulless Happymeal 91017 (U: 101130)--10% damage",""
"09:38.672","Deep Blue prepares  Attack  on Byn Al'arnab 48051 (U: 66738)--28% damage",""
"09:39.117","Red Hot Divers' Dare Mini Wizard (A: 78766)--23% damage",""
"09:39.117","Deep Blue Divers' Dare Mini Wizard 87789 (A: 2865) (U: 100728, M: 10074, 10.00%)--10% damage",""
"09:39.206","Red Hot Divers' Dare Byn Al'arnab (A: 37518)--38% damage",""
"09:39.206","Deep Blue Divers' Dare Rose Joli-ciel 82510 (U: 91678, M: 9168, 10.00%)--10% damage",""
"09:39.251","Red Hot Divers' Dare Aloliona Aster 14474 (A: 61473) (U: 98699, M: 22752, 23.05%)--23% damage",""
"09:39.251","Deep Blue Divers' Dare Amelia Mercer 22043 (A: 108951) (U: 179695, M: 48701, 27.10%)--27% damage",""
"09:39.296","Deep Blue Divers' Dare Lyra Willow 82183 (U: 101461, M: 19278, 19.00%)--19% damage",""
"09:39.339","Red Hot Divers' Dare Rose Joli-ciel 12803 (A: 61347) (U: 96367, M: 22217, 23.05%)--23% damage",""
"09:39.339","Deep Blue Divers' Dare Byn Al'arnab 16658 (A: 26695) (U: 60215, M: 16862, 28.00%)--28% damage",""
"09:39.384","Red Hot Divers' Dare Lyra Willow 10518 (A: 61923) (U: 104605, M: 32164, 30.75%)--31% damage",""
"09:39.384","Deep Blue Divers' Dare Aloliona Aster 85842 (U: 95380, M: 9538, 10.00%)--10% damage",""
"09:39.429","Red Hot Divers' Dare Soulless Happymeal 2093 (A: 79329) (U: 105814, M: 24392, 23.05%)--23% damage",""
"09:39.429","Deep Blue Divers' Dare Soulless Happymeal 91017 (U: 101130, M: 10113, 10.00%)--10% damage",""
"09:39.472","Deep Blue Attack Byn Al'arnab 48051 (U: 66738, M: 18687, 28.00%)--28% damage",""
"09:40.361","Red Hot prepares  Attack  on Rexx Aprilis--23% damage",""
"09:41.163","Red Hot Attack Rexx Aprilis (A: 52154)--23% damage",""
"09:41.697","Deep Blue prepares  Attack  on Byn Al'arnab 50541 (U: 70196)--28% damage",""
"09:42.498","Deep Blue Attack Byn Al'arnab 50541 (U: 70196, M: 19655, 28.00%)--28% damage",""
"09:43.389","Red Hot prepares  Attack  on Rexx Aprilis 21862 (U: 25570)--14% damage",""
"09:44.190","Red Hot Attack Rexx Aprilis 21862 (A: 27358) (U: 57569, M: 8349, 14.50%)--14% damage",""
"09:44.724","Deep Blue prepares  Attack  on Byn Al'arnab 63375 (U: 70417)--10% damage",""
"09:45.527","Deep Blue Attack Byn Al'arnab 63375 (U: 70417, M: 7042, 10.00%)--10% damage",""
"09:46.417","Red Hot prepares  Attack  on Rexx Aprilis 50820 (B: 12705) (U: 66869)--5% damage",""
"09:47.218","Red Hot Attack Rexx Aprilis 50820 (B: 12705) (U: 66869, M: 16049, 24.00%)--5% damage",""
"09:47.755","Deep Blue prepares  Attack  on Byn Al'arnab 69192 (U: 69192)",""
"09:48.558","Deep Blue Attack Byn Al'arnab 69192 (U: 69192)",""
